Bid,tipoResiduo,nivelLlenado,estado,fecha
1523823,resto,2,OK,2021-10-06T10:42:46
1523825,envases,4,OK,2021-10-06T10:00:27
1523824,envases,6,OK,2021-10-06T11:04:32
1523826,envases,0,OK,2021-10-06T10:34:22
1523828,envases,0,OK,2021-10-06T11:03:53
1523827,envases,2,OK,2021-10-06T10:57:47
1523832,resto,2,OK,2021-10-06T10:50:13
1523830,envases,4,OK,2021-10-06T09:32:00
1523831,envases,0,OK,2021-10-06T11:03:39
1523836,envases,0,OK,2021-10-06T11:00:54
1523838,resto,2,OK,2021-10-06T10:07:36
1523839,resto,6,OK,2021-10-06T09:27:57
1523841,envases,6,OK,2021-10-06T10:37:00
1523842,resto,2,OK,2021-10-06T09:52:02
1523843,resto,6,ERROR,2021-10-06T10:52:17
1523844,envases,2,OK,2021-10-06T10:51:41
1523846,envases,0,OK,2021-10-06T10:46:09
1523848,resto,0,OK,2021-10-06T09:30:38
1523850,envases,2,OK,2021-10-06T10:46:59
1523853,resto,0,OK,2021-10-06T10:53:04
1523833,resto,2,OK,2021-10-06T10:28:45
1523851,resto,0,OK,2021-10-06T09:45:35
1523854,envases,4,OK,2021-10-06T10:02:22
1523852,envases,6,OK,2021-10-06T09:50:05
1523856,resto,0,OK,2021-10-06T10:48:35
1523857,resto,0,OK,2021-10-06T10:43:24
1523855,resto,2,OK,2021-10-06T10:13:28
1523859,envases,6,OK,2021-10-06T10:33:56
1523862,envases,4,OK,2021-10-06T09:29:34
1523858,resto,0,OK,2021-10-06T09:44:35
1523861,resto,0,OK,2021-10-06T09:35:23
1523863,resto,0,OK,2021-10-06T07:28:04
1523864,resto,0,OK,2021-10-06T11:02:39
1523865,envases,2,OK,2021-10-06T10:29:42
1523866,resto,6,OK,2021-10-06T09:48:54
1523867,envases,4,OK,2021-10-06T09:59:12
1523868,resto,0,OK,2021-10-06T10:35:21
1523869,resto,0,OK,2021-10-06T09:55:13
1523870,envases,4,OK,2021-10-06T10:21:34
1523871,resto,0,OK,2021-10-06T09:36:00
1523872,resto,0,OK,2021-10-06T10:10:37
1523875,envases,6,OK,2021-10-06T09:29:03
1523874,envases,4,OK,2021-10-06T09:55:47
1523877,envases,2,OK,2021-10-06T09:43:25
1523876,resto,4,OK,2021-10-06T10:54:20
1523878,resto,0,OK,2021-10-06T10:11:57
1523879,resto,0,OK,2021-10-06T10:48:17
1523880,resto,0,OK,2021-10-06T11:00:05
1523883,envases,6,ERROR,2021-10-06T10:24:16
1523885,envases,6,OK,2021-10-06T11:03:52
1523886,resto,4,ERROR,2021-10-06T09:50:24
1523887,envases,0,OK,2021-10-06T10:55:10
1523888,resto,2,OK,2021-10-06T10:00:52
1523889,envases,6,OK,2021-10-06T09:49:42
1523890,envases,0,OK,2021-10-06T09:47:26
1523891,resto,2,OK,2021-10-06T09:37:51
1523893,envases,4,OK,2021-10-06T10:19:06
1523892,resto,4,OK,2021-10-06T09:45:25
1523894,resto,4,OK,2021-10-06T11:00:27
1523898,resto,2,OK,2021-10-06T09:59:01
1523895,resto,2,OK,2021-10-06T09:59:25
1523897,resto,4,OK,2021-10-06T09:45:42
1523896,resto,0,OK,2021-10-06T10:35:14
1523899,envases,0,OK,2021-10-06T10:08:10
1523904,resto,0,OK,2021-10-06T10:10:55
1523903,resto,4,OK,2021-10-06T10:21:24
1523902,resto,0,OK,2021-10-06T10:01:22
1523900,envases,6,OK,2021-10-06T10:26:33
