stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_12539,12539,AV.ROMERO-TOMILLO,Avda   Romero 56,40.4418044344203,-3.28491628176505,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12540,12540,AV.ROMERO-ESPLIEGO,Avda   Romero 23,40.4428797551634,-3.27989764254669,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12541,12541,AV.ROMERO-ESPLIEGO,Avda   Romero 25,40.4427079863122,-3.2801445509792,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12542,12542,AV.OLIMPIADA-CLUB DE GOLF,Avda   Olimpiada 14,40.4333934972497,-3.27606197468652,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12543,12543,AV.OLIMPIADA-CLUB DE GOLF,Avda   Olimpiada 38,40.4336398555374,-3.27475430465525,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12544,12544,AV.URBA-AV.ROBLEDAL,Avda la Urba 5,40.4345466904545,-3.27979234540383,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15161,15161,CTRA.M204-POL.IND.LOS BORDALES,Ctra de M-204 Alcalá-Villar del Olmo 22,40.4405395812657,-3.31741897355459,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15162,15162,CTRA.M204-POL.IND.LOS BORDALES,Calle  Blasco de Garay 23,40.43929987866,-3.31612793804928,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15163,15163,CTRA.M233-PARQUE ARROYO DEL TESORO,Ctra  Villalbilla-Valdeláguila sn,40.4350371004473,-3.3032449451934,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15164,15164,CTRA.M233-PARQUE ARROYO DEL TESORO,Ctra  Villalbilla-Valdeláguila sn,40.4347580721958,-3.30314937102069,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15366,15366,CTRA.M204-POL.IND.EL GURUGÚ,Ctra de M-204 Alcalá-Villar del Olmo 39700,40.4498306082913,-3.33557628338758,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15367,15367,CTRA.M204-POL.IND.EL GURUGÚ,Ctra de M-204 Alcalá-Villar del Olmo 41,40.4492942453711,-3.33413491671605,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17751,17751,AV.PARQUES NATURALES-MONFRAGÜE,Avda de los Parques Naturales 29,40.4336894746823,-3.28768802201993,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17752,17752,AV.PARQUES NATURALES-ARRIBES DEL DUERO,Avda de los Parques Naturales 30,40.4334280403661,-3.2877576469169,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17753,17753,AV.PARQUES NATURALES-COLEGIO,Avda de los Parques Naturales 9,40.432205501128,-3.29028720708156,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17754,17754,AV.PARQUES NATURALES-LAGO SANABRIA,Avda de los Parques Naturales 5,40.4318627185284,-3.29046257669713,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17757,17757,CºCORPA-SIERRA LA DEMANDA,Cmno de Corpa 34,40.430660542889,-3.28845321215888,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17758,17758,CºCORPA-HAYEDO DE MONTEJO,Cmno de Corpa 34,40.4305077443146,-3.28831108722524,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17759,17759,HAYEDO DE MONTEJO-PEÑA DE FRANCIA,Calle  Hoyedo Montejo 33,40.43255571154,-3.28348605812671,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17760,17760,HAYEDO DE MONTEJO-PEÑA DE FRANCIA,Calle  Hoyedo Montejo 33,40.4326637895551,-3.28349830171401,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17764,17764,CTRA.VALDELÁGUILA-POLIDEPORTIVO,Ctra   Villalbilla-Valdeláguila 1,40.4376836769798,-3.29710214790094,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17765,17765,CTRA.VALDELÁGUILA-POLIDEPORTIVO,Ctra   Villalbilla-Valdeláguila 1,40.4376388143065,-3.29703120692022,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17767,17767,CTRA.M204-ESTACIÓN DE SERVICIO,Ctra de M-204 Alcalá-Villar del Olmo 38700,40.4445064126761,-3.32288543504117,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_18456,18456,AV.URBA-PZA.URBA,Avda la Urba 8,40.4336784884004,-3.2811681643166,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_18457,18457,AV.URBA-PZA.URBA,Avda la Urba 8,40.4337770126979,-3.28140437291679,C1,http://www.crtm.es,0,,Europe/Madrid,0
